Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
78239132,10.04.2024 09:30,buy,0.50,gbpusdc,1.26814,0.00000,1.26839,10.04.2024 10:02,1.26842,-2.50,0.00,0.00,14.00
78093872,05.03.2024 04:30,sell,0.50,gbpusdc,1.26868,0.00000,1.26843,05.03.2024 04:47,1.26843,-2.50,0.00,0.00,12.50
78239748,10.04.2024 10:45,buy,0.50,gbpusdc,1.26847,0.00000,1.26872,10.04.2024 10:51,1.26874,-2.50,0.00,0.00,13.50
78093841,05.03.2024 04:00,sell,0.50,gbpusdc,1.26902,0.00000,1.26877,05.03.2024 04:26,1.26877,-2.50,0.00,0.00,12.50
78093556,04.03.2024 21:15,sell,0.50,gbpusdc,1.26909,0.00000,1.26884,04.03.2024 23:09,1.26884,-2.50,0.00,0.00,12.50
78093471,04.03.2024 19:15,sell,0.50,gbpusdc,1.26925,0.00000,1.26900,04.03.2024 21:06,1.26900,-2.50,0.00,0.00,12.50
78239950,10.04.2024 11:00,buy,0.50,gbpusdc,1.26889,0.00000,1.26914,10.04.2024 11:56,1.26914,-2.50,0.00,0.00,12.50
78241250,10.04.2024 12:15,buy,0.50,gbpusdc,1.26902,0.00000,1.26927,10.04.2024 12:27,1.26928,-2.50,0.00,0.00,13.00
78096423,05.03.2024 22:15,sell,0.50,gbpusdc,1.26966,0.00000,1.26941,06.03.2024 03:29,1.26941,-2.50,0.00,-0.03,12.50
78241524,10.04.2024 12:30,buy,0.50,gbpusdc,1.26929,0.00000,1.26954,10.04.2024 12:42,1.26960,-2.50,0.00,0.00,15.50
78096369,05.03.2024 22:00,sell,0.50,gbpusdc,1.27017,0.00000,1.26992,05.03.2024 22:11,1.26992,-2.50,0.00,0.00,12.50
78096320,05.03.2024 21:15,sell,0.50,gbpusdc,1.27040,0.00000,1.27015,05.03.2024 21:47,1.27015,-2.50,0.00,0.00,12.50
78096183,05.03.2024 20:30,sell,0.50,gbpusdc,1.27052,0.00000,1.27027,05.03.2024 21:05,1.27027,-2.50,0.00,0.00,12.50
78096778,06.03.2024 04:00,sell,0.50,gbpusdc,1.26924,0.00000,1.27064,06.03.2024 14:59,1.27064,-2.50,0.00,0.00,-70.00
78097460,06.03.2024 10:15,sell,0.67,gbpusdc,1.27212,0.00000,1.27064,06.03.2024 14:59,1.27064,-3.35,0.00,0.00,99.16
78096107,05.03.2024 19:00,sell,0.50,gbpusdc,1.27092,0.00000,1.27067,05.03.2024 20:18,1.27067,-2.50,0.00,0.00,12.50
78096048,05.03.2024 18:45,sell,0.50,gbpusdc,1.27103,0.00000,1.27078,05.03.2024 18:45,1.27078,-2.50,0.00,0.00,12.50
78095981,05.03.2024 18:15,sell,0.50,gbpusdc,1.27197,0.00000,1.27172,05.03.2024 18:38,1.27172,-2.50,0.00,0.00,12.50
78095705,05.03.2024 17:30,sell,0.50,gbpusdc,1.27201,0.00000,1.27176,05.03.2024 17:39,1.27176,-2.50,0.00,0.00,12.50
78095748,05.03.2024 17:45,sell,0.50,gbpusdc,1.27265,0.00000,1.27240,05.03.2024 18:03,1.27240,-2.50,0.00,0.00,12.50
78097980,06.03.2024 15:00,sell,0.50,gbpusdc,1.27068,0.00000,1.27246,07.03.2024 04:29,1.27246,-2.50,0.00,-0.08,-89.00
78098929,06.03.2024 18:00,sell,0.67,gbpusdc,1.27422,0.00000,1.27246,07.03.2024 04:29,1.27246,-3.35,0.00,-0.11,117.92
78097736,06.03.2024 12:30,buy,0.50,gbpusdc,1.27245,0.00000,1.27270,06.03.2024 13:58,1.27270,-2.50,0.00,0.00,12.50
78115996,14.03.2024 20:00,buy,0.50,gbpusdc,1.27490,0.00000,1.27515,14.03.2024 20:03,1.27515,-2.50,0.00,0.00,12.50
78116123,14.03.2024 23:30,buy,0.50,gbpusdc,1.27524,0.00000,1.27549,15.03.2024 06:44,1.27370,-2.50,0.00,-0.74,-77.00
78116027,14.03.2024 20:15,buy,0.50,gbpusdc,1.27528,0.00000,1.27553,14.03.2024 23:00,1.27557,-2.50,0.00,0.00,14.50
78110682,13.03.2024 12:45,sell,0.50,gbpusdc,1.27782,1.27932,1.27757,13.03.2024 13:00,1.27756,-2.50,0.00,0.00,13.00
78110557,13.03.2024 12:30,sell,0.50,gbpusdc,1.27846,1.27998,1.27821,13.03.2024 12:33,1.27821,-2.50,0.00,0.00,12.50
78109924,13.03.2024 10:30,buy,0.67,gbpusdc,1.27833,0.00000,1.27858,13.03.2024 10:48,1.27863,-3.35,0.00,0.00,20.10
78110462,13.03.2024 12:15,sell,0.50,gbpusdc,1.27892,1.28044,1.27867,13.03.2024 12:29,1.27864,-2.50,0.00,0.00,14.00
78110794,13.03.2024 13:15,sell,0.50,gbpusdc,1.27814,1.27964,1.27868,13.03.2024 14:22,1.27971,-2.50,0.00,0.00,-78.50
78110030,13.03.2024 11:00,sell,0.50,gbpusdc,1.27857,1.28008,1.27895,13.03.2024 11:41,1.28009,-2.50,0.00,0.00,-76.00
78110377,13.03.2024 12:00,sell,0.50,gbpusdc,1.27924,1.28074,1.27899,13.03.2024 12:13,1.27896,-2.50,0.00,0.00,14.00
78109761,13.03.2024 09:00,buy,0.50,gbpusdc,1.27938,1.27786,1.27903,13.03.2024 10:33,1.27786,-2.50,0.00,0.00,-76.00
78109789,13.03.2024 09:15,sell,0.50,gbpusdc,1.27934,1.28084,1.27909,13.03.2024 09:39,1.27909,-2.50,0.00,0.00,12.50
78109628,13.03.2024 07:00,sell,0.50,gbpusdc,1.27942,1.28092,1.27917,13.03.2024 07:26,1.27916,-2.50,0.00,0.00,13.00
78109658,13.03.2024 07:30,buy,0.50,gbpusdc,1.27920,1.27770,1.27929,13.03.2024 08:56,1.27929,-2.50,0.00,0.00,4.50
78109711,13.03.2024 08:30,buy,0.50,gbpusdc,1.27892,0.00000,1.27929,13.03.2024 08:56,1.27929,-2.50,0.00,0.00,18.50
78109737,13.03.2024 08:30,buy,0.17,gbpusdc,1.27892,0.00000,1.27929,13.03.2024 08:57,1.27931,-0.85,0.00,0.00,6.63
78110127,13.03.2024 11:15,sell,0.67,gbpusdc,1.27927,0.00000,1.27932,13.03.2024 11:56,1.27931,-3.35,0.00,0.00,-2.68
78110221,13.03.2024 11:30,sell,0.88,gbpusdc,1.27951,0.00000,1.27932,13.03.2024 11:56,1.27931,-4.40,0.00,0.00,17.60
78110291,13.03.2024 11:45,sell,0.88,gbpusdc,1.27987,0.00000,1.27932,13.03.2024 11:56,1.27931,-4.40,0.00,0.00,49.28
78109562,13.03.2024 06:00,sell,0.50,gbpusdc,1.27941,1.28091,1.27935,13.03.2024 06:49,1.27934,-2.50,0.00,0.00,3.50
78109595,13.03.2024 06:30,sell,0.67,gbpusdc,1.27975,0.00000,1.27935,13.03.2024 06:49,1.27934,-3.35,0.00,0.00,27.47
78111459,13.03.2024 15:30,sell,0.50,gbpusdc,1.27964,1.28117,1.27939,13.03.2024 15:37,1.27939,-2.50,0.00,0.00,12.50
78109304,13.03.2024 01:45,buy,0.50,gbpusdc,1.27934,1.27785,1.27959,13.03.2024 03:01,1.27961,-2.50,0.00,0.00,13.50
78109397,13.03.2024 03:15,buy,0.50,gbpusdc,1.27945,1.27795,1.27970,13.03.2024 03:24,1.27970,-2.50,0.00,0.00,12.50
78111592,13.03.2024 15:45,sell,0.50,gbpusdc,1.27995,1.28145,1.27970,13.03.2024 15:48,1.27963,-2.50,0.00,0.00,16.00
78109429,13.03.2024 03:30,buy,0.50,gbpusdc,1.27977,1.27827,1.27972,13.03.2024 06:29,1.27973,-2.50,0.00,0.00,-2.00
78109463,13.03.2024 03:45,buy,0.67,gbpusdc,1.27953,0.00000,1.27972,13.03.2024 06:29,1.27973,-3.35,0.00,0.00,13.40
78109537,13.03.2024 05:30,buy,0.88,gbpusdc,1.27926,0.00000,1.27972,13.03.2024 06:29,1.27973,-4.40,0.00,0.00,41.36
78110884,13.03.2024 13:30,sell,0.67,gbpusdc,1.27896,0.00000,1.27975,13.03.2024 15:29,1.27971,-3.35,0.00,0.00,-50.25
78111046,13.03.2024 14:15,sell,0.88,gbpusdc,1.27936,0.00000,1.27975,13.03.2024 15:29,1.27971,-4.40,0.00,0.00,-30.80
78111114,13.03.2024 14:30,sell,0.88,gbpusdc,1.27977,0.00000,1.27975,13.03.2024 15:29,1.27971,-4.40,0.00,0.00,5.28
78111196,13.03.2024 14:45,sell,1.18,gbpusdc,1.28020,0.00000,1.27975,13.03.2024 15:29,1.27971,-5.90,0.00,0.00,57.82
78111275,13.03.2024 15:00,sell,1.56,gbpusdc,1.28080,0.00000,1.27975,13.03.2024 15:29,1.27971,-7.80,0.00,0.00,170.04
78111691,13.03.2024 16:00,sell,0.50,gbpusdc,1.28002,1.28147,1.27977,13.03.2024 16:17,1.27977,-2.50,0.00,0.00,12.50
78106622,12.03.2024 04:00,buy,0.50,gbpusdc,1.28169,1.28019,1.28194,12.03.2024 04:45,1.28194,-2.50,0.00,0.00,12.50
78106776,12.03.2024 06:15,buy,0.17,gbpusdc,1.28188,0.00000,1.28194,12.03.2024 08:00,1.28199,-0.85,0.00,0.00,1.87
78106841,12.03.2024 07:45,buy,0.67,gbpusdc,1.28164,0.00000,1.28194,12.03.2024 08:00,1.28199,-3.35,0.00,0.00,23.45
78106677,12.03.2024 05:00,buy,0.50,gbpusdc,1.28212,1.28062,1.28223,12.03.2024 06:41,1.28223,-2.50,0.00,0.00,5.50
78106732,12.03.2024 06:15,buy,0.50,gbpusdc,1.28188,0.00000,1.28223,12.03.2024 06:41,1.28223,-2.50,0.00,0.00,17.50
78102204,08.03.2024 01:30,sell,1.18,gbpusdc,1.28103,0.00000,1.28295,11.03.2024 15:56,1.28308,-5.90,0.00,-0.06,-241.90
78101722,07.03.2024 17:45,sell,0.88,gbpusdc,1.27850,0.00000,1.28300,11.03.2024 15:56,1.28310,-4.40,0.00,-0.10,-404.80
78103027,08.03.2024 13:00,sell,1.56,gbpusdc,1.28366,0.00000,1.28300,11.03.2024 15:56,1.28307,-7.80,0.00,-0.09,92.04
78100938,07.03.2024 12:00,sell,0.67,gbpusdc,1.27501,0.00000,1.28304,11.03.2024 15:56,1.28310,-3.35,0.00,-0.08,-542.03
78100059,07.03.2024 04:30,sell,0.50,gbpusdc,1.27230,0.00000,1.28309,11.03.2024 15:56,1.28308,-2.50,0.00,-0.06,-539.00
