Trade Number,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit
59,78110377,2024-03-13 12:00,sell,0.5,gbpusdc,1.27924,1.28074,1.27899,2024-03-13 12:13,1.27896,-2.5,0.0,0.0,14.0
60,78110462,2024-03-13 12:15,sell,0.5,gbpusdc,1.27892,1.28044,1.27867,2024-03-13 12:29,1.27864,-2.5,0.0,0.0,14.0
61,78110557,2024-03-13 12:30,sell,0.5,gbpusdc,1.27846,1.27998,1.27821,2024-03-13 12:33,1.27821,-2.5,0.0,0.0,12.5
62,78110682,2024-03-13 12:45,sell,0.5,gbpusdc,1.27782,1.27932,1.27757,2024-03-13 13:00,1.27756,-2.5,0.0,0.0,13.0
63,78110794,2024-03-13 13:15,sell,0.5,gbpusdc,1.27814,1.27964,1.27868,2024-03-13 14:22,1.27971,-2.5,0.0,0.0,-78.5
64,78110884,2024-03-13 13:30,sell,0.67,gbpusdc,1.27896,0.0,1.27975,2024-03-13 15:29,1.27971,-3.35,0.0,0.0,-50.25
65,78111046,2024-03-13 14:15,sell,0.88,gbpusdc,1.27936,0.0,1.27975,2024-03-13 15:29,1.27971,-4.4,0.0,0.0,-30.8
66,78111114,2024-03-13 14:30,sell,0.88,gbpusdc,1.27977,0.0,1.27975,2024-03-13 15:29,1.27971,-4.4,0.0,0.0,5.28
67,78111196,2024-03-13 14:45,sell,1.18,gbpusdc,1.2802,0.0,1.27975,2024-03-13 15:29,1.27971,-5.9,0.0,0.0,57.82
68,78111275,2024-03-13 15:00,sell,1.56,gbpusdc,1.2808,0.0,1.27975,2024-03-13 15:29,1.27971,-7.8,0.0,0.0,170.04
69,78111459,2024-03-13 15:30,sell,0.5,gbpusdc,1.27964,1.28117,1.27939,2024-03-13 15:37,1.27939,-2.5,0.0,0.0,12.5
70,78111592,2024-03-13 15:45,sell,0.5,gbpusdc,1.27995,1.28145,1.2797,2024-03-13 15:48,1.27963,-2.5,0.0,0.0,16.0
71,78111691,2024-03-13 16:00,sell,0.5,gbpusdc,1.28002,1.28147,1.27977,2024-03-13 16:17,1.27977,-2.5,0.0,0.0,12.5
72,78115996,2024-03-14 20:00,buy,0.5,gbpusdc,1.2749,0.0,1.27515,2024-03-14 20:03,1.27515,-2.5,0.0,0.0,12.5
73,78116027,2024-03-14 20:15,buy,0.5,gbpusdc,1.27528,0.0,1.27553,2024-03-14 23:00,1.27557,-2.5,0.0,0.0,14.5
74,78116123,2024-03-14 23:30,buy,0.5,gbpusdc,1.27524,0.0,1.27549,2024-03-15 06:44,1.2737,-2.5,0.0,-0.74,-77.0
75,78234941,2024-04-09 20:00,sell,0.5,gbpusdc,1.26692,0.0,1.26667,2024-04-09 20:14,1.26666,-2.5,0.0,0.0,13.0
76,78234941,2024-04-09 20:00,sell,0.5,gbpusdc,1.26692,0.0,1.26667,2024-04-09 20:14,1.26666,-2.5,0.0,0.0,13.0
77,78235055,2024-04-09 20:15,sell,0.5,gbpusdc,1.2666,0.0,1.26782,2024-04-10 15:30,1.26614,-2.5,0.0,-0.17,23.0
78,78235055,2024-04-09 20:15,sell,0.5,gbpusdc,1.2666,0.0,1.26782,2024-04-10 15:30,1.26614,-2.5,0.0,-0.17,23.0
79,78238718,2024-04-10 08:00,buy,0.5,gbpusdc,1.26772,0.0,1.26797,2024-04-10 09:21,1.26801,-2.5,0.0,0.0,14.5
80,78238718,2024-04-10 08:00,buy,0.5,gbpusdc,1.26772,0.0,1.26797,2024-04-10 09:21,1.26801,-2.5,0.0,0.0,14.5
81,78239132,2024-04-10 09:30,buy,0.5,gbpusdc,1.26814,0.0,1.26839,2024-04-10 10:02,1.26842,-2.5,0.0,0.0,14.0
82,78239132,2024-04-10 09:30,buy,0.5,gbpusdc,1.26814,0.0,1.26839,2024-04-10 10:02,1.26842,-2.5,0.0,0.0,14.0
83,78239538,2024-04-10 10:15,buy,0.5,gbpusdc,1.26811,0.0,1.26836,2024-04-10 10:30,1.26843,-2.5,0.0,0.0,16.0
84,78239538,2024-04-10 10:15,buy,0.5,gbpusdc,1.26811,0.0,1.26836,2024-04-10 10:30,1.26843,-2.5,0.0,0.0,16.0
85,78239748,2024-04-10 10:45,buy,0.5,gbpusdc,1.26847,0.0,1.26872,2024-04-10 10:51,1.26874,-2.5,0.0,0.0,13.5
86,78239748,2024-04-10 10:45,buy,0.5,gbpusdc,1.26847,0.0,1.26872,2024-04-10 10:51,1.26874,-2.5,0.0,0.0,13.5
87,78239950,2024-04-10 11:00,buy,0.5,gbpusdc,1.26889,0.0,1.26914,2024-04-10 11:56,1.26914,-2.5,0.0,0.0,12.5
88,78239950,2024-04-10 11:00,buy,0.5,gbpusdc,1.26889,0.0,1.26914,2024-04-10 11:56,1.26914,-2.5,0.0,0.0,12.5
89,78241055,2024-04-10 12:00,sell,0.55,gbpusdc,1.2694,0.0,1.26782,2024-04-10 15:30,1.26614,-2.75,0.0,0.0,179.3
90,78241055,2024-04-10 12:00,sell,0.55,gbpusdc,1.2694,0.0,1.26782,2024-04-10 15:30,1.26614,-2.75,0.0,0.0,179.3
91,78241250,2024-04-10 12:15,buy,0.5,gbpusdc,1.26902,0.0,1.26927,2024-04-10 12:27,1.26928,-2.5,0.0,0.0,13.0
92,78241250,2024-04-10 12:15,buy,0.5,gbpusdc,1.26902,0.0,1.26927,2024-04-10 12:27,1.26928,-2.5,0.0,0.0,13.0
93,78241524,2024-04-10 12:30,buy,0.5,gbpusdc,1.26929,0.0,1.26954,2024-04-10 12:42,1.2696,-2.5,0.0,0.0,15.5
94,78241524,2024-04-10 12:30,buy,0.5,gbpusdc,1.26929,0.0,1.26954,2024-04-10 12:42,1.2696,-2.5,0.0,0.0,15.5
95,78251353,2024-04-10 17:45,buy,0.5,gbpusdc,1.25708,0.0,1.25572,2024-04-11 10:21,1.25573,-2.5,0.0,-2.21,-67.5
96,78251353,2024-04-10 17:45,buy,0.5,gbpusdc,1.25708,0.0,1.25572,2024-04-11 10:21,1.25573,-2.5,0.0,-2.21,-67.5
97,78252542,2024-04-10 18:45,buy,0.55,gbpusdc,1.25401,0.0,1.25572,2024-04-11 10:21,1.25573,-2.75,0.0,-2.43,94.6
98,78252542,2024-04-10 18:45,buy,0.55,gbpusdc,1.25401,0.0,1.25572,2024-04-11 10:21,1.25573,-2.75,0.0,-2.43,94.6
99,78256302,2024-04-11 10:30,buy,0.5,gbpusdc,1.25565,0.0,1.2559,2024-04-11 10:50,1.25591,-2.5,0.0,0.0,13.0
100,78256302,2024-04-11 10:30,buy,0.5,gbpusdc,1.25565,0.0,1.2559,2024-04-11 10:50,1.25591,-2.5,0.0,0.0,13.0
101,78256741,2024-04-11 11:00,buy,0.5,gbpusdc,1.25613,0.0,1.25638,2024-04-11 11:00,1.25641,-2.5,0.0,0.0,14.0
102,78256741,2024-04-11 11:00,buy,0.5,gbpusdc,1.25613,0.0,1.25638,2024-04-11 11:00,1.25641,-2.5,0.0,0.0,14.0
103,78256899,2024-04-11 11:15,buy,0.5,gbpusdc,1.25661,0.0,1.25686,2024-04-11 11:19,1.25687,-2.5,0.0,0.0,13.0
104,78256899,2024-04-11 11:15,buy,0.5,gbpusdc,1.25661,0.0,1.25686,2024-04-11 11:19,1.25687,-2.5,0.0,0.0,13.0
105,78257055,2024-04-11 11:30,buy,0.5,gbpusdc,1.25662,0.0,1.25542,2024-04-11 15:30,1.25547,-2.5,0.0,0.0,-57.5
106,78257055,2024-04-11 11:30,buy,0.5,gbpusdc,1.25662,0.0,1.25542,2024-04-11 15:30,1.25547,-2.5,0.0,0.0,-57.5
107,78257469,2024-04-11 12:45,buy,0.55,gbpusdc,1.25386,0.0,1.25542,2024-04-11 15:30,1.25547,-2.75,0.0,0.0,88.55
